feature	Campylobacter	Clostridium	Desulfovibrio	Enterococcus	Escherichia.Shigella	Helicobacter	Staphylococcus	Streptococcus	Treponema
Li49778-023045-RT	7.8053271737895	2.93130090300879	3.79673985046664	-3.1486322920868	-0.258260534190639	4.34077979142192	-1.5391943796527	1.65265277282758	5.43908149214455
Li49781-023058-RT	6.02495580389435	3.56626952454219	1.34621149609045	-1.19651472458638	1.58496294507065	3.42001922005203	-0.369836151401912	3.63579103398546	4.95286890320296
Li49786-023029-RT	7.41847319725916	3.81732268347172	2.2149197679805	-1.26117892185478	0.293450754084329	4.58660769205146	-3.96922912295699	2.25334714511438	5.50723765850526
Li49787-023051-RT	7.0423755436485	3.22884443298881	3.2248396218693	0.93342782947338	2.98673723087637	4.73744131107212	0.5159865303185	5.75722343888235	4.34016539151115
Li49828-2023106-RT	3.44820430975065	2.13617301966033	3.40606947409931	-2.68410854594471	2.2575338766646	3.17810116530601	-3.37725572650465	3.30234345933973	4.62777761813246
Li49841-023068-RT	4.56974374175173	4.96580793573892	3.15814068347623	0.0929989585500701	1.48189410137002	4.24025876297981	0.676145243895687	2.71630793119719	6.12803172584633
Li49844-2023083-RT	1.45109589280611	1.20721644301272	4.26076828745554	-2.06044954602491	-1.50083375808949	5.6116101078335	-3.4467439071448	2.59351080413261	5.99621498650811
Li49846-023052-RT	6.05684289006028	0.199438976128996	3.75742904708125	-2.18010715800118	0.235806620299871	3.37517530833658	-0.178627157791055	4.48989841727739	6.15733716442004
Li49848-2023086-RT	5.8145514457582	2.36341908011068	3.76556649632592	-0.083060192543432	3.43344803562972	4.82696518865359	2.36547881307369	4.41569071643859	6.4329215340324
Li49850-023017-RT	5.49177649626964	3.09757509815508	4.69502765737671	-0.739977878634575	1.10894000443343	3.47171389443858	1.55077275671247	3.18374116655676	5.39393043354013
Li49851-023022-RT	5.83922477682912	1.95745060757955	3.87205532371591	-3.88027983958639	-1.68305526225017	5.16104998965552	-0.383772278119906	0.396386279429669	4.67786333815881
Li49856-023012-RT	4.65949675529681	2.48792027853673	0.96500246329854	-1.79861758895848	-0.18917967652438	5.56420895581858	-0.854155980117629	5.31102842016152	6.61232580261505
Li49857-023033-RT	1.9547906115518	2.6099241654117	5.04292232546823	1.04646100089351	2.13622367428464	5.28146093248064	1.19366501558987	5.27146020806329	4.7572355620075
Li49858-023021-RT	6.80095478747965	3.68832633578212	4.45030726618018	-2.90916037207544	4.06485070268376	4.09594845216261	1.81601260630735	4.11125372504563	5.09670707053312
Li49860-023001-RT	5.63830625387109	1.03900692623278	4.39712948730652	-0.836285655608576	3.1039713561067	5.60545801539736	0.830563164038863	3.21589447101829	6.25662806150271
Li49864-023006-RT	7.72659881062119	4.2378213955301	5.07590681115256	-3.99700888491195	-0.333447238782305	3.92670144905729	-1.00127661135796	4.97024029794033	3.93893621844175
Li49865-023015-RT	6.51313845912612	4.18920159561648	3.02427078389757	-0.848472247362134	3.5148622542996	2.88743214539667	0.250140041305976	4.25814640057935	5.27019584332613
Li49867-023005-RT	4.58585400480005	0.634610286218618	4.1832129595685	-3.99036252706565	2.15382310705999	6.97277123522992	-3.99036252706565	4.51455563347497	5.45029559997274
Li49872-023057-RT	7.31522540355683	4.71241453706315	4.33682830195689	1.09796661571046	2.71670692080687	4.76344351260511	2.10871754858723	3.14415093563381	6.29976278909958
Li49873-023039-RT	6.75763843181974	1.34115546851123	3.86449716035346	-2.57751207963558	0.667681053549992	4.95564672781998	-1.03706703868843	2.75842215048376	6.69539612294252
Li49878-2023099-RT	5.37697822582021	3.75271524402396	4.40285995997409	-3.54234117243867	-1.46289963075884	4.74970646499268	-3.54234117243867	1.44809141434006	7.18698710238287
