feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lachnoclostridium	DS	DS	0.00203701592749785	0.00331368887948697	35	35	0.543220806455988	0.979403392350286
Lachnoclostridium	Group	V	-0.342581786652364	0.242410171696526	35	35	0.167550560021612	0.979403392350286
Lachnoclostridium	age_years	age_years	0.0654510632426547	0.0285056215507149	35	35	0.0285932809819033	0.979403392350286
Lachnospira	DS	DS	0.00267219114719743	0.0061625984903473	35	35	0.667571165042378	0.979403392350286
Lachnospira	Group	V	-0.361267534657963	0.450819800069197	35	35	0.42902495021233	0.979403392350286
Lachnospira	age_years	age_years	0.0217083012889217	0.0530130337287561	35	35	0.684995963588675	0.979403392350286
Lactobacillus	DS	DS	0.00622210518886714	0.00951260947188315	35	35	0.517876991217086	0.979403392350286
Lactobacillus	Group	V	0.111789421521742	0.69588708512617	35	35	0.873416833244569	0.979403392350286
Lactobacillus	age_years	age_years	0.00937105730854869	0.0818311119199665	35	35	0.909566448232531	0.979403392350286
Ligilactobacillus	DS	DS	0.00362200941892182	0.00845796425904498	35	33	0.671439665469199	0.979403392350286
Ligilactobacillus	Group	V	0.126064937555439	0.61873538609201	35	33	0.839883520067359	0.979403392350286
Ligilactobacillus	age_years	age_years	-0.00661151213284803	0.072758649657881	35	33	0.928181239307214	0.979403392350286
Mediterraneibacter	DS	DS	-0.00459407730997392	0.00705082570886738	35	31	0.519482885410883	0.979403392350286
Mediterraneibacter	Group	V	0.0351838778764486	0.515797328249307	35	31	0.946054480480142	0.979403392350286
Mediterraneibacter	age_years	age_years	0.0524032496235253	0.0606539046321517	35	31	0.394239499399642	0.979403392350286
Oscillibacter	DS	DS	0.00255632959614059	0.00286246331392387	35	35	0.378709793395117	0.979403392350286
Oscillibacter	Group	V	-0.050449887826333	0.209401138320119	35	35	0.811199902405313	0.979403392350286
Oscillibacter	age_years	age_years	0.0071448826068157	0.0246240063255883	35	35	0.77362658214551	0.979403392350286
Prevotella	DS	DS	0.00294716390556466	0.00708181472432719	35	13	0.680160516876117	0.979403392350286
Prevotella	Group	V	0.251248092660516	0.518064304067351	35	13	0.631103855017407	0.979403392350286
Prevotella	age_years	age_years	-0.0721643790946779	0.0609204840181631	35	13	0.245191468057444	0.979403392350286
Roseburia	DS	DS	0.00232220620700988	0.00393821046569495	35	35	0.559691993812013	0.979403392350286
Roseburia	Group	V	-0.212489022592551	0.288096532259229	35	35	0.466327272676599	0.979403392350286
Roseburia	age_years	age_years	0.0384935236265359	0.0338779955526619	35	35	0.264564095574754	0.979403392350286
Ruminococcus	DS	DS	-0.00193148142572774	0.00546997912903841	35	35	0.726399000657276	0.979403392350286
Ruminococcus	Group	V	-0.160918359441683	0.400151803041902	35	35	0.690338002256626	0.979403392350286
Ruminococcus	age_years	age_years	0.0309254316562087	0.0470548565702457	35	35	0.515889232181921	0.979403392350286
